round,client,step,semantic_score,energy
2,1,46,0.627,0.0806
2,1,47,0.614,0.1403
2,1,48,0.601,0.1627
2,1,49,0.624,0.0303
2,3,0,0.613,0.2191
2,3,1,0.599,0.1055
2,3,2,0.608,0.1447
2,3,3,0.606,0.1779
2,3,4,0.607,0.1325
2,3,5,0.61,0.0809
2,3,6,0.61,0.1398
2,3,7,0.614,0.1403
2,3,8,0.619,0.1551
2,3,9,0.611,0.1154
2,3,10,0.608,0.2603
2,3,11,0.604,0.1403
2,3,12,0.598,0.2778
2,3,13,0.597,0.2196
2,3,14,0.6,0.2074
2,3,15,0.602,0.2304
2,3,16,0.613,0.0525
2,3,17,0.608,0.2025
2,3,18,0.61,0.0679
2,3,19,0.607,0.161
2,3,20,0.616,0.1791
2,3,21,0.61,0.1486
2,3,22,0.615,0.0688
2,3,23,0.63,0.0812
2,3,24,0.62,0.0519
2,3,25,0.602,0.1398
2,3,26,0.605,0.1861
2,3,27,0.602,0.2734
2,3,28,0.614,0.1304
2,3,29,0.618,0.2382
2,3,30,0.611,0.1841
2,3,31,0.622,0.156
2,3,32,0.609,0.1902
2,3,33,0.604,0.1528
2,3,34,0.607,0.1583
2,3,35,0.61,0.1821
2,3,36,0.614,0.0688
2,3,37,0.601,0.2154
2,3,38,0.601,0.11
2,3,39,0.609,0.1841
2,3,40,0.616,0.1143
2,3,41,0.597,0.2452
2,3,42,0.604,0.2423
2,3,43,0.599,0.1839
2,3,44,0.625,0.1865
2,3,45,0.607,0.1518
2,3,46,0.604,0.1841
2,3,47,0.608,0.1929
2,3,48,0.608,0.2237
2,3,49,0.602,0.2168
2,4,0,0.623,0.0915
2,4,1,0.616,0.0631
2,4,2,0.609,0.1825
2,4,3,0.622,0.1391
2,4,4,0.604,0.1381
2,4,5,0.61,0.0244
2,4,6,0.626,0.0773
2,4,7,0.609,0.0694
2,4,8,0.613,0.1574
2,4,9,0.627,0.153
2,4,10,0.622,0.1271
2,4,11,0.623,0.1743
2,4,12,0.607,0.151
2,4,13,0.604,0.1791
2,4,14,0.625,0.1791
2,4,15,0.62,0.0387
2,4,16,0.611,0.1112
2,4,17,0.624,0.122
2,4,18,0.611,0.0972
2,4,19,0.607,0.2307
2,4,20,0.602,0.0775
2,4,21,0.616,0.1377
2,4,22,0.606,0.1376
2,4,23,0.607,0.0519
2,4,24,0.611,0.0757
2,4,25,0.611,0.0459
2,4,26,0.63,0.1085
2,4,27,0.612,0.1427
2,4,28,0.616,0.1289
2,4,29,0.606,0.1648
2,4,30,0.608,0.2786
2,4,31,0.601,0.276
2,4,32,0.604,0.1649
2,4,33,0.614,0.2243
2,4,34,0.606,0.2451
2,4,35,0.605,0.1128
2,4,36,0.596,0.1954
2,4,37,0.611,0.0694
2,4,38,0.603,0.1623
2,4,39,0.623,0.0937
2,4,40,0.604,0.2836
2,4,41,0.606,0.1185
2,4,42,0.607,0.2308
2,4,43,0.613,0.2038
2,4,44,0.61,0.1386
2,4,45,0.616,0.0612
2,4,46,0.607,0.1376
2,4,47,0.612,0.2127
2,4,48,0.618,0.0336
2,4,49,0.607,0.2565
3,0,0,0.606,0.1626
3,0,1,0.599,0.1744
3,0,2,0.616,0.0256
3,0,3,0.6,0.1841
3,0,4,0.607,0.1908
3,0,5,0.616,0.1885
3,0,6,0.618,0.168
3,0,7,0.617,0.1797
3,0,8,0.619,0.2164
3,0,9,0.614,0.2155
3,0,10,0.614,0.0595
3,0,11,0.607,0.0596
3,0,12,0.601,0.1265
3,0,13,0.606,0.1801
3,0,14,0.608,0.2005
3,0,15,0.596,0.1214
3,0,16,0.615,0.1944
3,0,17,0.608,0.0428
3,0,18,0.608,0.1912
3,0,19,0.613,0.1608
3,0,20,0.625,0.0959
3,0,21,0.62,0.0202
3,0,22,0.603,0.2298
3,0,23,0.609,0.2161
3,0,24,0.609,0.2293
3,0,25,0.61,0.1906
3,0,26,0.615,0.0619
3,0,27,0.629,0.0962
3,0,28,0.614,0.1265
3,0,29,0.623,0.0522
3,0,30,0.621,0.131
3,0,31,0.612,0.1804
3,0,32,0.611,0.0874
3,0,33,0.612,0.0468
3,0,34,0.609,0.1076
3,0,35,0.616,0.2449
3,0,36,0.6,0.1797
3,0,37,0.615,0.0566
3,0,38,0.611,0.0468
3,0,39,0.613,0.1841
3,0,40,0.606,0.263
3,0,41,0.619,0.181
3,0,42,0.605,0.1839
3,0,43,0.618,0.1448
3,0,44,0.62,0.1636
3,0,45,0.602,0.0597
3,0,46,0.604,0.1111
3,0,47,0.6,0.2446
3,0,48,0.611,0.0919
3,0,49,0.612,0.2164
3,2,0,0.628,0.0279
3,2,1,0.614,0.083
3,2,2,0.612,0.1518
3,2,3,0.614,0.1782
3,2,4,0.609,0.0551
3,2,5,0.636,0.0392
3,2,6,0.635,0.0625
3,2,7,0.606,0.2112
3,2,8,0.61,0.2304
3,2,9,0.605,0.2593
3,2,10,0.609,0.1885
3,2,11,0.596,0.2621
3,2,12,0.616,0.134
3,2,13,0.615,0.1934
3,2,14,0.598,0.2135
3,2,15,0.596,0.2517
3,2,16,0.611,0.1777
3,2,17,0.617,0.1538
3,2,18,0.605,0.1623
3,2,19,0.623,0.153
3,2,20,0.599,0.2608
3,2,21,0.607,0.1424
3,2,22,0.619,0.1651
3,2,23,0.618,0.1185
3,2,24,0.616,0.0302
3,2,25,0.612,0.1422
3,2,26,0.611,0.0679
3,2,27,0.594,0.2917
3,2,28,0.607,0.1585
3,2,29,0.608,0.11
3,2,30,0.615,0.0798
3,2,31,0.596,0.1862
3,2,32,0.619,0.0898
3,2,33,0.611,0.2446
3,2,34,0.6,0.071
3,2,35,0.604,0.0976
3,2,36,0.615,0.1375
3,2,37,0.609,0.2386
3,2,38,0.607,0.2039
3,2,39,0.632,0.1696
3,2,40,0.609,0.2396
3,2,41,0.609,0.1713
3,2,42,0.62,0.1468
3,2,43,0.595,0.1609
3,2,44,0.61,0.0647
3,2,45,0.596,0.2755
3,2,46,0.626,0.1364
3,2,47,0.625,0.1824
3,2,48,0.617,0.1002
3,2,49,0.619,0.0854
3,4,0,0.621,0.0764
3,4,1,0.611,0.128
3,4,2,0.618,0.1649
3,4,3,0.606,0.1599
3,4,4,0.606,0.2792
3,4,5,0.616,0.1815
3,4,6,0.606,0.2572
3,4,7,0.614,0.1822
3,4,8,0.62,0.0679
3,4,9,0.609,0.1185
3,4,10,0.603,0.1699
3,4,11,0.621,0.1785
3,4,12,0.602,0.1526
3,4,13,0.613,0.1675
3,4,14,0.627,0.0936
3,4,15,0.615,0.1791
3,4,16,0.629,0.0816
3,4,17,0.601,0.1974
3,4,18,0.616,0.1161
3,4,19,0.609,0.1862
3,4,20,0.61,0.2214
3,4,21,0.607,0.0806
3,4,22,0.629,0.1132
3,4,23,0.611,0.0905
3,4,24,0.613,0.0715
3,4,25,0.595,0.2858
3,4,26,0.611,0.04
3,4,27,0.613,0.1412
3,4,28,0.606,0.1963
3,4,29,0.638,0.0309
3,4,30,0.594,0.2834
3,4,31,0.603,0.2042
3,4,32,0.612,0.0651
3,4,33,0.611,0.2331
3,4,34,0.61,0.2321
3,4,35,0.606,0.1167
3,4,36,0.618,0.2061
3,4,37,0.604,0.2557
3,4,38,0.61,0.1131
3,4,39,0.609,0.0993
3,4,40,0.605,0.1791
3,4,41,0.615,0.0437
3,4,42,0.605,0.167
3,4,43,0.612,0.1648
3,4,44,0.597,0.2172
3,4,45,0.616,0.1403
3,4,46,0.596,0.1791
3,4,47,0.61,0.1474
3,4,48,0.619,0.0817
3,4,49,0.608,0.0318
4,0,0,0.61,0.1403
4,0,1,0.6,0.1322
4,0,2,0.614,0.1767
4,0,3,0.614,0.2289
4,0,4,0.602,0.2049
4,0,5,0.603,0.0624
4,0,6,0.593,0.2016
4,0,7,0.614,0.0595
4,0,8,0.622,0.1193
4,0,9,0.61,0.0673
4,0,10,0.613,0.0997
4,0,11,0.615,0.0321
4,0,12,0.611,0.138
4,0,13,0.607,0.2573
4,0,14,0.606,0.1376
4,0,15,0.612,0.2279
4,0,16,0.621,0.0935
4,0,17,0.622,0.2086
4,0,18,0.605,0.2005
4,0,19,0.612,0.2213
4,0,20,0.621,0.1454
4,0,21,0.606,0.1381
4,0,22,0.603,0.1491
4,0,23,0.625,0.0591
4,0,24,0.61,0.1767
4,0,25,0.624,0.1633
4,0,26,0.618,0.0588
4,0,27,0.614,0.1734
4,0,28,0.618,0.216
4,0,29,0.603,0.1839
4,0,30,0.616,0.1199
4,0,31,0.611,0.1229
4,0,32,0.592,0.2961
4,0,33,0.613,0.1342
4,0,34,0.604,0.165
4,0,35,0.595,0.2964
4,0,36,0.612,0.259
4,0,37,0.609,0.2699
4,0,38,0.611,0.167
4,0,39,0.61,0.1136
4,0,40,0.624,0.1877
4,0,41,0.607,0.0765
4,0,42,0.609,0.1001
4,0,43,0.604,0.1893
4,0,44,0.608,0.2813
4,0,45,0.592,0.2616
4,0,46,0.604,0.073
4,0,47,0.608,0.1339
4,0,48,0.615,0.1045
4,0,49,0.599,0.2412
4,4,0,0.615,0.0633
4,4,1,0.607,0.0747
4,4,2,0.627,0.1755
4,4,3,0.618,0.1121
4,4,4,0.601,0.0919
4,4,5,0.607,0.1752
4,4,6,0.607,0.1237
4,4,7,0.621,0.0932
4,4,8,0.597,0.2089
4,4,9,0.614,0.2031
4,4,10,0.613,0.2226
4,4,11,0.605,0.1124
4,4,12,0.609,0.1511
4,4,13,0.611,0.1255
4,4,14,0.626,0.104
4,4,15,0.601,0.2533
4,4,16,0.611,0.2237
4,4,17,0.616,0.1777
4,4,18,0.621,0.1355
4,4,19,0.607,0.0871
4,4,20,0.594,0.1927
4,4,21,0.62,0.1835
4,4,22,0.609,0.1083
4,4,23,0.61,0.2369
4,4,24,0.615,0.0455
4,4,25,0.624,0.041
4,4,26,0.614,0.0557
4,4,27,0.607,0.1383
4,4,28,0.607,0.147
4,4,29,0.608,0.1687
4,4,30,0.598,0.2697
4,4,31,0.621,0.1629
4,4,32,0.61,0.1643
4,4,33,0.599,0.166
4,4,34,0.61,0.1426
4,4,35,0.616,0.1483
4,4,36,0.607,0.1359
4,4,37,0.606,0.153
4,4,38,0.609,0.2066
4,4,39,0.614,0.2005
4,4,40,0.611,0.0921
4,4,41,0.617,0.0342
4,4,42,0.61,0.228
4,4,43,0.614,0.1138
4,4,44,0.609,0.0829
4,4,45,0.604,0.1969
4,4,46,0.605,0.2005
4,4,47,0.608,0.191
4,4,48,0.612,0.2285
4,4,49,0.619,0.181
4,2,0,0.615,0.0531
4,2,1,0.62,0.1026
4,2,2,0.6,0.1486
4,2,3,0.612,0.0692
4,2,4,0.609,0.156
4,2,5,0.617,0.2043
4,2,6,0.616,0.2107
4,2,7,0.616,0.207
4,2,8,0.604,0.0769
4,2,9,0.603,0.1943
4,2,10,0.62,0.203
4,2,11,0.609,0.088
4,2,12,0.606,0.0565
4,2,13,0.611,0.2062
4,2,14,0.611,0.1084
4,2,15,0.602,0.1726
4,2,16,0.618,0.1798
4,2,17,0.617,0.0459
4,2,18,0.611,0.1757
4,2,19,0.617,0.1251
4,2,20,0.623,0.0726
4,2,21,0.6,0.2729
4,2,22,0.609,0.151
4,2,23,0.617,0.2103
4,2,24,0.636,0.0432
4,2,25,0.596,0.1117
4,2,26,0.596,0.1671
4,2,27,0.607,0.0969
4,2,28,0.614,0.0422
4,2,29,0.613,0.1799
4,2,30,0.609,0.2005
4,2,31,0.609,0.0674
4,2,32,0.605,0.083
4,2,33,0.616,0.1799
4,2,34,0.613,0.0636
4,2,35,0.618,0.1864
4,2,36,0.599,0.1879
4,2,37,0.619,0.13
4,2,38,0.596,0.1609
4,2,39,0.617,0.2077
4,2,40,0.612,0.1253
4,2,41,0.612,0.2053
4,2,42,0.612,0.023
4,2,43,0.608,0.1892
4,2,44,0.617,0.159
4,2,45,0.598,0.2621
4,2,46,0.615,0.1454
4,2,47,0.614,0.132
4,2,48,0.607,0.0976
4,2,49,0.612,0.039
5,1,0,0.607,0.1886
5,1,1,0.61,0.1631
5,1,2,0.594,0.2151
5,1,3,0.605,0.2494
5,1,4,0.595,0.2189
5,1,5,0.608,0.0529
5,1,6,0.606,0.2551
5,1,7,0.616,0.0558
5,1,8,0.615,0.156
5,1,9,0.603,0.131
5,1,10,0.606,0.2709
5,1,11,0.612,0.1957
5,1,12,0.609,0.1101
5,1,13,0.599,0.1094
5,1,14,0.604,0.1653
5,1,15,0.607,0.2395
5,1,16,0.611,0.137
5,1,17,0.617,0.0392
5,1,18,0.622,0.1507
5,1,19,0.615,0.1337
5,1,20,0.608,0.1904
5,1,21,0.598,0.2637
5,1,22,0.615,0.1912
5,1,23,0.604,0.1796
5,1,24,0.617,0.1034
5,1,25,0.611,0.0994
5,1,26,0.618,0.1699
5,1,27,0.609,0.2403
5,1,28,0.613,0.2337
5,1,29,0.613,0.1529
5,1,30,0.621,0.0927
5,1,31,0.63,0.0398
5,1,32,0.614,0.1934
5,1,33,0.624,0.1129
5,1,34,0.599,0.2662
5,1,35,0.615,0.195
5,1,36,0.607,0.2491
5,1,37,0.614,0.1631
5,1,38,0.623,0.05
5,1,39,0.61,0.0971
5,1,40,0.605,0.2572
5,1,41,0.617,0.05
5,1,42,0.601,0.0896
5,1,43,0.61,0.0766
5,1,44,0.627,0.1573
5,1,45,0.604,0.0748
5,1,46,0.612,0.0427
5,1,47,0.625,0.1944
5,1,48,0.604,0.2766
5,1,49,0.608,0.1511
5,0,0,0.611,0.058
5,0,1,0.605,0.271
5,0,2,0.626,0.1483
5,0,3,0.603,0.1684
5,0,4,0.63,0.0813
5,0,5,0.623,0.1635
5,0,6,0.604,0.191
5,0,7,0.61,0.1688
5,0,8,0.601,0.1877
5,0,9,0.614,0.0922
5,0,10,0.619,0.191
5,0,11,0.607,0.1967
5,0,12,0.609,0.1447
5,0,13,0.614,0.0963
5,0,14,0.604,0.1918
5,0,15,0.623,0.1929
5,0,16,0.614,0.1724
5,0,17,0.61,0.2213
5,0,18,0.611,0.142
5,0,19,0.609,0.2148
5,0,20,0.611,0.1011
5,0,21,0.61,0.1447
5,0,22,0.615,0.2245
5,0,23,0.606,0.1512
5,0,24,0.62,0.1552
5,0,25,0.62,0.1014
5,0,26,0.612,0.1883
5,0,27,0.608,0.1907
5,0,28,0.606,0.2202
5,0,29,0.618,0.2321
5,0,30,0.606,0.2005
5,0,31,0.602,0.2116
5,0,32,0.618,0.1726
5,0,33,0.61,0.1864
5,0,34,0.616,0.0595
5,0,35,0.612,0.1382
5,0,36,0.598,0.1101
5,0,37,0.612,0.0531
5,0,38,0.614,0.1944
5,0,39,0.619,0.0611
5,0,40,0.601,0.2071
5,0,41,0.601,0.1658
5,0,42,0.62,0.0853
5,0,43,0.621,0.0749
5,0,44,0.615,0.2449
5,0,45,0.607,0.1891
5,0,46,0.605,0.1665
5,0,47,0.604,0.1376
5,0,48,0.622,0.1149
5,0,49,0.618,0.1879
5,3,0,0.599,0.2176
5,3,1,0.607,0.0758
5,3,2,0.606,0.1032
5,3,3,0.618,0.05
5,3,4,0.607,0.1143
5,3,5,0.622,0.1382
5,3,6,0.615,0.2099
5,3,7,0.611,0.1743
5,3,8,0.597,0.2569
5,3,9,0.602,0.205
5,3,10,0.604,0.1012
5,3,11,0.61,0.1602
5,3,12,0.593,0.2888
5,3,13,0.609,0.1981
5,3,14,0.596,0.2692
5,3,15,0.616,0.1775
5,3,16,0.602,0.1909
5,3,17,0.605,0.1712
5,3,18,0.614,0.1385
5,3,19,0.614,0.034
5,3,20,0.597,0.0779
5,3,21,0.613,0.1289
5,3,22,0.601,0.188
5,3,23,0.608,0.13
5,3,24,0.633,0.0822
5,3,25,0.634,0.1061
5,3,26,0.624,0.0499
5,3,27,0.605,0.1861
5,3,28,0.608,0.0729
5,3,29,0.602,0.0619
5,3,30,0.624,0.0733
5,3,31,0.597,0.2901
5,3,32,0.6,0.2869
5,3,33,0.596,0.0996
5,3,34,0.617,0.0991
5,3,35,0.609,0.1894
5,3,36,0.611,0.1447
5,3,37,0.626,0.1438
5,3,38,0.605,0.1026
5,3,39,0.605,0.2688
5,3,40,0.605,0.2001
5,3,41,0.619,0.1108
5,3,42,0.606,0.2044
5,3,43,0.609,0.149
5,3,44,0.591,0.3009
5,3,45,0.607,0.1557
5,3,46,0.606,0.2258
5,3,47,0.61,0.1185
5,3,48,0.609,0.1598
5,3,49,0.613,0.0343
